,image,Restaurant name,Address,Contact address,Reviews,Dish name1,Timing,Ratings,Restaurant url,Restaurant_ownership,url links
0,https://s3-media0.fl.yelpcdn.com/bphoto/RiOB8t3ecgOue2EP2LN0YA/l.jpg,Maverik,"425 S 6th St Thermopolis, WY 82443",(307) 439-1800,4 reviews,"Convenience Stores, Gas Stations, Fast Food",,4.5 star rating,https://www.maverik.com,Claimed,https://www.yelp.com/adredir?ad_business_id=mYrjGmTGSfSD_4dOhRP5zg&campaign_id=pvBdVwk9ZCMQiKXq0GkpkA&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fmaverik-thermopolis&request_id=937fe7ea926bd8c9&signature=2b7304b050d2c7a39c5eca2334173f94cf4342c1cfc52ca96e7083db98439293&slot=0
1,https://s3-media0.fl.yelpcdn.com/bphoto/Uq8END-SaRVDFwSEN0a0NQ/l.jpg,Schlotzsky's,"6985 Nugget Evansville, WY 82636",(307) 462-0817,9 reviews,"Delis, Sandwiches, Caterers",Mon 7:00 AM - 9:00 PM Tue 7:00 AM - 9:00 PM Wed 7:00 AM - 9:00 PM Thu 7:00 AM - 9:00 PM Fri 7:00 AM - 9:00 PM Sat 7:00 AM - 9:00 PM Open now Sun 7:00 AM - 9:00 PM,4 star rating,https://www.schlotzskys.com,Claimed,https://www.yelp.com/adredir?ad_business_id=aRvJvr_ZSxNmvPF9DO76vA&campaign_id=mMAqKFwczwqx_HJbIfXaFQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fschlotzskys-evansville-3&request_id=937fe7ea926bd8c9&signature=8210c90790c0a8ab1eb88f4568804e7d0d6d291d298db3a5c1f67190e50d9d8a&slot=1
2,https://s3-media0.fl.yelpcdn.com/bphoto/q5YIAP43fm3srIbQ1w3few/l.jpg,Split Rock Bar & Cafe,"2297 Hwy 789 Jeffrey City, WY 82310",(307) 544-2223,9 reviews,American (Traditional),Mon 6:00 AM - 2:00 AM (Next day) Tue 6:00 AM - 2:00 AM (Next day) Wed 6:00 AM - 2:00 AM (Next day) Thu 6:00 AM - 2:00 AM (Next day) Fri 6:00 AM - 2:00 AM (Next day) Sat 6:00 AM - 2:00 AM (Next day) Open now Sun 6:00 AM - 10:00 PM,4 star rating,https://www.schlotzskys.com,Unclaimed,https://www.yelp.com/biz/split-rock-bar-and-cafe-jeffrey-city?osq=restaurants
3,https://s3-media0.fl.yelpcdn.com/bphoto/q5YIAP43fm3srIbQ1w3few/l.jpg,Grindz 'n' Grub,"507 E 2nd St Shoshoni, WY 82649",(307) 921-3857,1 review,American (New),,5 star rating,https://www.schlotzskys.com,Unclaimed,https://www.yelp.com/biz/grindz-n-grub-shoshoni?osq=restaurants
4,https://s3-media0.fl.yelpcdn.com/bphoto/4XAQm2jd1ao0ji9d8xbe9g/l.jpg,Sunset Bar & Grill,"22250 W Hwy 220 Alcova, WY 82620",(307) 472-3200,2 reviews,"American (Traditional), Bars",,5 star rating,http://sunsetgrillalcova.com,Unclaimed,https://www.yelp.com/biz/sunset-bar-and-grill-alcova?osq=restaurants
5,https://s3-media0.fl.yelpcdn.com/bphoto/4DM2b6Fqe-DqHUqFYUEJnQ/l.jpg,J & D's Cajun Kitchen,"22250 W Hwy 220 Alcova, WY 82620",,1 review,"Cajun/Creole, Food Trucks, Seafood",,4 star rating,http://jdscajunkitchen.com,Unclaimed,https://www.yelp.com/biz/j-and-ds-cajun-kitchen-casper-2?osq=restaurants
6,https://s3-media0.fl.yelpcdn.com/bphoto/4DM2b6Fqe-DqHUqFYUEJnQ/l.jpg,Hot Stuff Pizza,"110 W 2nd Shoshoni, WY 82649",(307) 876-2787,Pizza,Pizza,,Rating,http://jdscajunkitchen.com,Unclaimed,https://www.yelp.com/biz/hot-stuff-pizza-shoshoni?osq=restaurants
7,https://s3-media0.fl.yelpcdn.com/bphoto/4DM2b6Fqe-DqHUqFYUEJnQ/l.jpg,On The Hook Fish & Chips Food Truck,"110 W 2nd Shoshoni, WY 82649",,"Food Trucks,","Food Trucks, Fish & Chips",,Rating,https://onthehookfishandchips.…,Unclaimed,https://www.yelp.com/biz/on-the-hook-fish-and-chips-food-truck-no-title?osq=restaurants
